Game,Map,Rank,Team,Placement,Placement Points,Elims,Total Points
9,Erangel,2,Nongshim Redforce,3,5,8,13
9,Erangel,3,Aurora Gaming,1,10,13,23
9,Erangel,4,eArena,9,0,5,5
9,Erangel,5,Tianba,6,2,4,6
9,Erangel,6,4thrives Esports,11,0,1,1
9,Erangel,7,Team Flash,4,4,3,7
9,Erangel,8,E Horaa Esports,16,0,1,1
9,Erangel,9,Nigma Galaxy,5,3,4,7
9,Erangel,10,FURIA Esports,7,1,0,1
9,Erangel,11,ULF Esports,10,0,1,1
9,Erangel,12,Team Vitality,12,0,0,0
9,Erangel,13,Godlike Esports,14,0,7,7
9,Erangel,14,AlUla Club Esports,8,1,4,5
9,Erangel,15,Orangutan,15,0,0,0
9,Erangel,16,IDA Esports,13,0,1,1
10,Erangel,1,S2G Esports,1,10,9,19
10,Erangel,2,Nongshim Redforce,5,3,2,5
10,Erangel,3,Aurora Gaming,2,6,13,19
10,Erangel,4,eArena,11,0,4,4
10,Erangel,5,Tianba,15,0,1,1
10,Erangel,6,4thrives Esports,3,5,6,11
10,Erangel,7,Team Flash,9,0,3,3
10,Erangel,8,E Horaa Esports,13,0,1,1
10,Erangel,9,Nigma Galaxy,7,1,10,11
10,Erangel,10,FURIA Esports,4,4,0,4
10,Erangel,11,ULF Esports,14,0,1,1
10,Erangel,12,Team Vitality,12,0,6,6
10,Erangel,13,Godlike Esports,10,0,3,3
10,Erangel,14,AlUla Club Esports,6,2,0,2
10,Erangel,15,Orangutan,16,0,0,0
10,Erangel,16,IDA Esports,8,1,0,1
11,Miramar,1,S2G Esports,8,1,1,2
11,Miramar,2,Nongshim Redforce,7,1,1,2
11,Miramar,3,Aurora Gaming,5,3,1,4
11,Miramar,4,eArena,10,0,4,4
11,Miramar,5,Tianba,6,2,5,7
11,Miramar,6,4thrives Esports,16,0,2,2
11,Miramar,7,Team Flash,4,4,5,9
11,Miramar,8,E Horaa Esports,15,0,3,3
11,Miramar,9,Nigma Galaxy,14,0,2,2
11,Miramar,10,FURIA Esports,13,0,2,2
11,Miramar,11,ULF Esports,3,5,7,12
11,Miramar,12,Team Vitality,9,0,3,3
11,Miramar,13,Godlike Esports,1,10,10,20
11,Miramar,14,AlUla Club Esports,12,0,0,0
11,Miramar,15,Orangutan,11,0,6,6
11,Miramar,16,IDA Esports,2,6,8,14
12,Miramar,1,S2G Esports,3,5,3,8
12,Miramar,2,Nongshim Redforce,1,10,11,21
12,Miramar,3,Aurora Gaming,16,0,0,0
12,Miramar,4,eArena,2,6,8,14
12,Miramar,5,Tianba,12,0,1,1
12,Miramar,6,4thrives Esports,14,0,3,3
12,Miramar,7,Team Flash,6,2,1,3
12,Miramar,8,E Horaa Esports,10,0,6,6
12,Miramar,9,Nigma Galaxy,5,3,4,7
12,Miramar,10,FURIA Esports,4,4,3,7
12,Miramar,11,ULF Esports,11,0,5,5
12,Miramar,12,Team Vitality,15,0,1,1
12,Miramar,13,Godlike Esports,9,0,0,0
12,Miramar,14,AlUla Club Esports,8,1,1,2
12,Miramar,15,Orangutan,13,0,5,5
12,Miramar,16,IDA Esports,7,1,6,7
13,Rondo,1,S2G Esports,8,1,5,6
13,Rondo,2,Nongshim Redforce,1,10,8,18
13,Rondo,3,Aurora Gaming,11,0,6,6
13,Rondo,4,eArena,6,2,8,10
13,Rondo,5,Tianba,12,0,0,0
13,Rondo,6,4thrives Esports,2,6,16,22
13,Rondo,7,Team Flash,7,1,3,4
13,Rondo,8,E Horaa Esports,13,0,0,0
13,Rondo,9,Nigma Galaxy,5,3,8,11
13,Rondo,10,FURIA Esports,16,0,4,4
13,Rondo,11,ULF Esports,9,0,3,3
13,Rondo,12,Team Vitality,14,0,2,2
13,Rondo,13,Godlike Esports,10,0,15,15
13,Rondo,14,AlUla Club Esports,3,5,12,17
13,Rondo,15,Orangutan,4,4,8,12
13,Rondo,16,IDA Esports,15,0,2,2
14,Erangel,1,S2G Esports,5,3,4,7
14,Erangel,2,Nongshim Redforce,6,2,3,5
14,Erangel,3,Aurora Gaming,7,1,2,3
14,Erangel,4,eArena,10,0,0,0
14,Erangel,5,Tianba,15,0,3,3
14,Erangel,6,4thrives Esports,13,0,0,0
14,Erangel,7,Team Flash,1,10,13,23
14,Erangel,8,E Horaa Esports,3,5,16,21
14,Erangel,9,Nigma Galaxy,12,0,0,0
14,Erangel,10,FURIA Esports,9,0,5,5
14,Erangel,11,ULF Esports,14,0,1,1
14,Erangel,12,Team Vitality,4,4,0,4
14,Erangel,13,Godlike Esports,11,0,1,1
14,Erangel,14,AlUla Club Esports,2,6,3,9
